ZOOMA QUERY	MAPPED_TERM_LABEL	MAPPED_TERM_URI	MAPPING_TYPE	ICD10_CODE/SELF_REPORTED_TRAIT_FIELD_CODE
Granulomatous disorders of skin and subcutaneous tissue	granulomatous dermatitis	EFO_1000705	Exact	L92
Excessive vomiting in pregnancy	hyperemesis gravidarum	EFO_1000971	Exact	O21
Hyperfunction of pituitary gland	hyperpituitarism	EFO_1000973	Exact	E22
Other nutritional deficiencies	nutritional deficiency disease	EFO_1001067	Exact	E63
Other rheumatic heart diseases	rheumatic heart disease	EFO_1001161	Exact	I09
Other helminthiases	Helminthiasis	EFO_1001342	Exact	B83
Unspecified viral infection of CNS	central nervous system infection	EFO_1001456	Exact	A89
Diverticular disease of intestine	diverticulitis	EFO_1001460	Exact	K57
Premature separation of placenta	Abruptio Placentae	EFO_1001754	Exact	O45
Retention of urine	Urinary retention	HP_0000016	Exact	R33
Unspecified urinary incontinence	Urinary incontinence	HP_0000020	Exact	R32
Isolated proteinuria	proteinuria	HP_0000093	Exact	R80
Cleft palate	cleft palate	HP_0000175	Exact	Q35
Hydrocephalus	hydrocephalus	HP_0000238	Exact	G91
Visual disturbances	Visual impairment	HP_0000505	Exact	H53
Unspecified dementia	dementia	HP_0000726	Exact	F03
Unspecified haematuria	hematuria	HP_0000790	Exact	R31
Cholecystitis	Cholecystitis	HP_0001082	Exact	K81
Dystonia	Dystonia	HP_0001332	Exact	G24
Ascites	Ascites	HP_0001541	Exact	R18
Iron deficiency anaemia	Iron deficiency anemia	HP_0001891	Exact	D50
Acute renal failure	acute kidney injury	HP_0001919	Exact	N17
Nonspecific lymphadenitis	lymphadenitis	HP_0002840	Exact	I88
Cachexia	cachexia	HP_0004326	Exact	R64
Disseminated intravascular coagulation	Disseminated intravascular coagulation	HP_0005521	Exact	D65
Senile cataract	age-related cataract	HP_0011141	Exact	H25
Agranulocytosis	Agranulocytosis	HP_0012234	Exact	D70
Helicobacter pylori	Helicobacter pylori	NCBITaxon_210	Exact	B98
Reduction defects of lower limb	Hemimelia	Orphanet_2130	Exact	Q72
Congenital hydrocephalus	Congenital hydrocephalus	Orphanet_2185	Exact	Q03
Immunodeficiency with predominantly antibody defects	Other immunodeficiency syndrome with predominantly antibody defects	Orphanet_331244	Exact	D80
Congenital malformations of oesophagus	Esophageal malformation	Orphanet_88993	Exact	Q39
Syndactyly	Syndactyly	Orphanet_90025	Exact	Q70
Other congenital malformations of intestine	Intestinal malformation	Orphanet_97945	Exact	Q43
Other functional intestinal disorders	intestinal disease	EFO_0009431	Broad	K59
Other disorders of peripheral nervous system	peripheral nervous system disease	EFO_0009387	Exact	G64
Spondylosis	spondyloarthropathy	EFO_0000706	Exact	M47
Hypofunction and other disorders of pituitary gland	"hypopituitarism, pituitary gland disease"	"EFO_0001380, EFO_0009607"	Exact	E23
Other retinal disorders	retinopathy	EFO_0003839	Exact	H35
Arterial embolism and thrombosis	venous thromboembolism	EFO_0004286	Exact	I74
Juvenile osteochondrosis of hip and pelvis	Legg-Calvé-Perthes disease	Orphanet_2380	Exact	M91
Encephalitis myelitis and encephalomyelitis	meningoencephalitis	EFO_0007364	Exact	G04
Atrial fibrillation and flutter	atrial fibrillation	EFO_0000275	Exact	I48
Dermatopolymyositis	dermatomyositis	EFO_0000398	Exact	M33
Lack of food	malnutrition	EFO_0008572	Exact	X53
Inflammatory diseases of prostate	prostatitis	EFO_0003830	Exact	N41
Chronic renal failure	chronic kidney disease	EFO_0003884	Exact	N18
Postpolio syndrome	postpoliomyelitis syndrome	EFO_0007454	Exact	G14
Dementia in Alzheimer s disease	Alzheimer's disease	EFO_0000249	Broad	F00
Other disorders of circulatory system in diseases classified elsewhere	cardiovascular disease	EFO_0000319	Broad	I98
Meningitis due to other causes	infectious meningitis	EFO_0000584	Broad	G03
Gestational hypertension with significant proteinuria	preeclampsia	EFO_0000668	Broad	O14
Respiratory disorders in diseases classified elsewhere	respiratory system disease	EFO_0000684	Broad	J99
Vitamin B12 deficiency anaemia	vitamin B12 deficiency	EFO_0000734	Broad	D51
Unspecified arthropod borne viral fever	viral disease	EFO_0000763	Broad	A94
HIV disease resulting in infectious and parasitic diseases	AIDS	EFO_0000765	Broad	B20
Chronic ischaemic heart disease	coronary heart disease	EFO_0001645	Broad	I25
Mental and behavioural disorders due to use of cocaine	cocaine dependence	EFO_0002610	Broad	F14
Benign mammary dysplasia	breast fibrocystic disease	EFO_0003014	Broad	N60
Depressive episode	unipolar depression	EFO_0003761	Broad	F32
Recurrent depressive disorder	unipolar depression	EFO_0003761	Broad	F33
Mental and behavioural disorders due to use of tobacco	nicotine dependence	EFO_0003768	Broad	F17
Mental and behavioural disorders due to use of alcohol	alcohol dependence	EFO_0003829	Broad	F10
Dorsalgia	pain	EFO_0003843	Broad	M54
Disorders of globe	eye disease	EFO_0003966	Broad	H44
Mental and behavioural disorders due to use of cannabinoids	cannabis dependence	EFO_0007191	Broad	F12
Osteochondrodysplasia with defects of growth of tubular bones and spine	osteochondrodysplasia	EFO_0005571	Broad	Q77
Mental and behavioural disorders due to use of opioids	opioid dependence	EFO_0005611	Broad	F11
Mosquito borne viral encephalitis	viral encephalitis	EFO_0007538	Broad	A83
Tick borne viral encephalitis	viral encephalitis	EFO_0007538	Broad	A84
Respiratory tuberculosis confimed	pulmonary tuberculosis	EFO_1000049	Broad	A15
Unspecified lump in breast	breast cyst	EFO_1000848	Broad	N63
Erysipeloid	Erysipelothrix rhusiopathiae infection	EFO_1000928	Broad	A26
Rheumatic fever without mention of heart involvement	rheumatic fever	EFO_1001160	Broad	I00
Pyogenic arthritis	infectious arthritis	EFO_1001351	Broad	M00
Toxic effect of metals	heavy metal poisoning	EFO_1001518	Broad	T56
Staphylococcal scalded skin syndrome	staphylococcal skin infection	EFO_1001849	Broad	L00
Phobic anxiety disorders	phobic disorder	EFO_1001908	Broad	F40
Adult osteomalacia	osteomalacia	EFO_1002027	Broad	M83
Functional disorders of polymorphonuclear neutrophils	Functional neutrophil defect	Orphanet_183681	Broad	D71
Encephalocele	isolated encephalocele	Orphanet_199647	Broad	Q01
Tuberculosis of other organs	tuberculosis	Orphanet_3389	Broad	A18
Localized adiposity	lipedema	Orphanet_77243	Broad	E65
Atopic dermatitis	atopic aczema	EFO_0000274	Exact	L20
Cardiomyopathy	cardiomyopathy	EFO_0000318	Exact	I42
other disorders of circulatory system	cardiovascular disease	EFO_0000319	Exact	I99
Crohn s disease	Crohn's disease	EFO_0000384	Exact	K50
Unspecified diabetes mellitus	diabetes mellitus	EFO_0000400	Exact	E14
Other specified diabetes mellitus	diabetes mellitus	EFO_0000400	Exact	E13
Epilepsy	epilepsy	EFO_0000474	Exact	G40
Glaucoma	glaucoma	EFO_0000516	Exact	H40
Irritable bowel syndrome	irritable bowel syndrome	EFO_0000555	Exact	K58
Schizophrenia	schizophrenia	EFO_0000692	Exact	F20
Ulcerative colitis	ulcerative colitis	EFO_0000729	Exact	K51
Viral infection of unspecified site	viral disease	EFO_0000763	Exact	B34
Myositis	myositis	EFO_0000783	Exact	M60
Other cataract	cataract	EFO_0001059	Exact	H26
Cytomegaloviral disease	cytomegalovirus infection	EFO_0001062	Exact	B25
Endometriosis	endometriosis	EFO_0001065	Exact	N80
Obesity	obesity	EFO_0001073	Exact	E66
Insulin dependent diabetes mellitus	type I diabetes mellitus	EFO_0001359	Exact	E10
Non insulin dependent diabetes mellitus	type II diabetes mellitus	EFO_0001360	Exact	E11
Parkinson s disease	Parkinson's disease	EFO_0002508	Exact	G20
Juvenile arthritis	chronic childhood arthritis	EFO_0002609	Exact	M08
Cellulitis	cellulitis	EFO_0003035	Exact	L03
Cushing s syndrome	Cushing syndrome	EFO_0003099	Exact	E24
Osteomyelitis	osteomyelitis	EFO_0003102	Exact	M86
Spina bifida	spina bifida	EFO_0003105	Exact	Q05
Heart failure	heart failure	EFO_0003144	Exact	I50
Vitamin D deficiency	vitamin D deficiency	EFO_0003762	Exact	E55
Dental caries	dental caries	EFO_0003819	Exact	K02
Migraine	migraine disorder	EFO_0003821	Exact	G43
Pulmonary embolism	pulmonary embolism	EFO_0003827	Exact	I26
Other peripheral vascular diseases	peripheral vascular disease	EFO_0003875	Exact	I73
Multiple sclerosis	multiple sclerosis	EFO_0003885	Exact	G35
Acne	acne	EFO_0003894	Exact	L70
Ankylosing spondylitis	ankylosing spondylitis	EFO_0003898	Exact	M45
Angina pectoris	angina pectoris	EFO_0003913	Exact	I20
Atherosclerosis	atherosclerosis	EFO_0003914	Exact	I70
Gastro oesophageal reflux disease	gastroesophageal reflux disease	EFO_0003948	Exact	K21
Sunburn	sunburn	EFO_0003958	Exact	L55
Cleft lip	cleft lip	EFO_0003959	Exact	Q36
Androgenic alopecia	androgenic alopecia	EFO_0004191	Exact	L64
Alopecia areata	alopecia areata	EFO_0004192	Exact	L63
Vitiligo	vitiligo	EFO_0004208	Exact	L80
Hypospadias	hypospadias	EFO_0004209	Exact	Q54
Otosclerosis	otosclerosis	EFO_0004213	Exact	H80
Conduct disorders	conduct disorder	EFO_0004216	Exact	F91
Male infertility	male infertility	EFO_0004248	Exact	N46
Meningococcal infection	meningococcal infection	EFO_0004249	Exact	A39
Calculus of kidney and ureter	nephrolithiasis	EFO_0004253	Exact	N20
Nephrotic syndrome	nephrotic syndrome	EFO_0004255	Exact	N04
Osteonecrosis	osteonecrosis	EFO_0004259	Exact	M87
Paget s disease of bone	osteitis deformans	EFO_0004261	Exact	M88
Other anaemias	anemia	EFO_0004272	Exact	D64
Gout	gout	EFO_0004274	Exact	M10
Diabetes mellitus in pregnancy	gestational diabetes	EFO_0004593	Exact	O24
Duodenal ulcer	duodenal ulcer	EFO_0004607	Exact	K26
Cholelithiasis	cholelithiasis	EFO_0004799	Exact	K80
Leishmaniasis	Leishmaniasis	EFO_0005044	Exact	B55
Eating disorders	eating disorder	EFO_0005203	Exact	F50
Hypotension	hypotension	EFO_0005251	Exact	I95
Unspecified contact dermatitis	contact dermatitis	EFO_0005319	Exact	L25
Schizoaffective disorders	schizoaffective disorder	EFO_0005411	Exact	F25
Urticaria	urticaria	EFO_0005531	Exact	L50
Seborrhoeic keratosis	seborrheic keratosis	EFO_0005584	Exact	L82
Shigellosis	shingellosis	EFO_0005585	Exact	A03
Other vitamin deficiencies	vitamin deficiency	EFO_0005878	Exact	E56
Zoster	Herpes Zoster	EFO_0006510	Exact	B02
Pyoderma gangrenosum	pyoderma gangrenosum	EFO_0006835	Exact	L88
Decubitus ulcer	decubitus ulcer	EFO_0007067	Exact	L89
Actinomycosis	actinomycosis	EFO_0007128	Exact	A42
Amoebiasis	amebiasis	EFO_0007144	Exact	A06
Unspecified appendicitis	appendicitis	EFO_0007149	Exact	K37
Ascariasis	ascariasis	EFO_0007154	Exact	B77
Aspergillosis	aspergillosis	EFO_0007157	Exact	B44
Varicella	chickenpox	EFO_0007204	Exact	B01
Cryptococcosis	cryptococcosis	EFO_0007229	Exact	B45
Echinococcosis	echinococcosis	EFO_0007245	Exact	B67
Enterobiasis	enterobiasis	EFO_0007254	Exact	B80
Granuloma inguinale	granuloma inguinale	EFO_0007291	Exact	A58
Histoplasmosis	histoplasmosis	EFO_0007310	Exact	B39
Infectious mononucleosis	infectious mononucleosis	EFO_0007326	Exact	B27
Leptospirosis	leptospirosis	EFO_0007344	Exact	A27
Listeriosis	listeriosis	EFO_0007347	Exact	A32
Miliary tuberculosis	miliary tuberculosis	EFO_0007368	Exact	A19
Myiasis	myiasis	EFO_0007389	Exact	B87
Optic neuritis	optic neuritis	EFO_0007405	Exact	H46
Placenta praevia	placenta praevia	EFO_0007442	Exact	O44
Plasmodium falciparum malaria	Plasmodium falciparum malaria	EFO_0007444	Exact	B50
Plasmodium vivax malaria	Plasmodium vivax malaria	EFO_0007445	Exact	B51
Acute poliomyelitis	poliomyelitis	EFO_0007450	Exact	A80
Scarlet fever	scarlet fever	EFO_0007477	Exact	A38
Strongyloidiasis	strongyloidiasis	EFO_0007501	Exact	B78
Suppurative and unspecified otitis media	suppurative otitis media	EFO_0007503	Exact	H66
other syphilis	syphilis	EFO_0007504	Exact	A53
Toxoplasmosis	toxoplasmosis	EFO_0007517	Exact	B58
Yaws	yaws	EFO_0007548	Exact	A66
Status epilepticus	status epilepticus	EFO_0008526	Exact	G41
Fracture of femur	femur fracture	EFO_0008553	Exact	S72
Diaphragmatic hernia	diaphragmatic hernia	EFO_0008561	Exact	K44
Niacin deficiency	vitamin B3 deficiency	EFO_0008570	Exact	E52
Gangrene	gangrene	EFO_0008574	Exact	R02
Acute myocardial infarction	acute myocardial infarction	EFO_0008583	Exact	I21
Subsequent myocardial infarction	Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardian infarction	EFO_0008584	Exact	I22
Peritonitis	peritonitis	EFO_0008588	Exact	K65
Diseases of spleen	splenic disease	EFO_0009002	Exact	D73
Typhus fever	typhus	EFO_0009117	Exact	A75
Other diseases of intestine	intestinal disease	EFO_0009431	Exact	K63
Fibroblastic disorders	fibroblastic disorder	EFO_0009432	Exact	M72
Unspecified acute lower respiratory infection	lower respiratory tract disease	EFO_0009433	Exact	J22
Other ill defined and unspecified causes of mortality	death by undetermined cause	EFO_0009434	Exact	R99
Cystitis	cystitis	EFO_1000025	Exact	N30
Lactose intolerance	lactose intolerance	EFO_1000062	Exact	E73
Thyroiditis	thyroid disease	EFO_1000627	Exact	E06
Acute pancreatitis	acute pancreatitis	EFO_1000652	Exact	K85
Acanthosis nigricans	acanthosis nigricans	EFO_1000660	Exact	L83
Allergic contact dermatitis	allergic contact dermatitis	EFO_1000668	Exact	L23
Cholesteatoma of middle ear	cholesteatoma of middle ear	EFO_1000678	Exact	H71
Erythema multiforme	erythema multiforme	EFO_1000694	Exact	L51
Hyperhidrosis	hypohidrosis	EFO_1000712	Exact	R61
Impetigo	impetigo	EFO_1000714	Exact	L01
Irritant contact dermatitis	irritant dermatitis	EFO_1000718	Exact	L24
Lichen planus	lichen planus	EFO_1000726	Exact	L43
Parapsoriasis	parapsoriasis	EFO_1000747	Exact	L41
Pemphigus	pemphigus	EFO_1000749	Exact	L10
Pityriasis rosea	pityriasis rosea	EFO_1000756	Exact	L42
Rosacea	rosacea	EFO_1000760	Exact	L71
Seborrhoeic dermatitis	seborrheic dermatitis	EFO_1000764	Exact	L21
Atrophic disorders of skin	skin atrophy	EFO_1000766	Exact	L90
Coxarthrosis	"osteoarthritis, hip"	EFO_1000786	Exact	M16
Coalworker s pneumoconiosis	anthracosis	EFO_1000814	Exact	J60
Ascorbic acid deficiency	ascorbic acid deficiency	EFO_1000822	Exact	E54
Bacterial meningitis	bacterial meningitis	EFO_1000831	Exact	G00
Dysplasia of cervix uteri	dysplasia of cervix	EFO_1000910	Exact	N87
Habitual aborter	habitual abortion	EFO_1000954	Exact	N96
Other rickettsioses	rickettsiosis	EFO_1001162	Exact	A79
Secondary parkinsonism	secondary Parkinson disease	EFO_1001175	Exact	G21
Viral meningitis	viral meningitis	EFO_1001236	Exact	A87
Vitamin A deficiency	vitamin A deficiency	EFO_1001237	Exact	E50
Spontaneous abortion	spontaneous abortion	EFO_1001255	Exact	O03
Phlebitis and thrombophlebitis	phlebitis || Thrombophlebitis	"EFO_1001395, HP_0004418"	Exact	I80
Unspecified renal colic	renal colic	EFO_1001412	Exact	N23
Taeniasis	taeniasis	EFO_1001433	Exact	B68
Synovitis and tenosynovitis	tenosynovitis	EFO_1001435	Exact	M65
Schistosomiasis	schistosomiasis	EFO_1001475	Exact	B65
Unspecified abortion	abortion	EFO_1001491	Exact	O06
Femoral hernia	femoral hernia	EFO_1001791	Exact	K41
Ventral hernia	ventral hernia	EFO_1001866	Exact	K43
Amyloidosis	amyloidosis	EFO_1001875	Exact	E85
Cicatricial alopecia	cicatrical alopecia	EFO_1002028	Exact	L66
Other disorders of nervous system	nervous system disease	EFO_0000618	Exact	G98
Polyuria	polyuria	HP_0000103	Exact	R35
Pruritus	prutitus	HP_0000989	Exact	L29
Nausea and vomiting	nausea and vomiting	HP_0002017	Exact	R11
Peptic ulcer site unspecified	peptic ulcer	HP_0004398	Exact	K27
Erythema nodosum	erythema nodosum	HP_0012219	Exact	L52
Oesophagitis	esophagitis	HP_0100633	Exact	K20
Common variable immunodeficiency	common variable immunodeficiency	Orphanet_1572	Exact	D83
Adrenogenital disorders	adrenogenital syndrome	Orphanet_181412	Exact	E25
Sickle cell disorders	sickle cell anemia	Orphanet_232	Exact	D57
Congenital malformations of great veins	congenital anomaly of the great veins	Orphanet_363189	Exact	Q26
Huntington s disease	Huntington disease	Orphanet_399	Exact	G10
Cystic fibrosis	cystic fibrosis	Orphanet_586	Exact	E84
Hypertrichosis	Hypertrichosis	Orphanet_79365	Exact	L68
Sarcoidosis	sarcoidosis	Orphanet_797	Exact	D86
Turner s syndrome	Turner syndrome	Orphanet_881	Exact	Q96
Congenital malformations of great arteries	congenital anomaly of the great arteries	Orphanet_98724	Exact	Q25
Hereditary factor VIII deficiency	hemophilia A	Orphanet_98878	Exact	D66
Hereditary factor IX deficiency	hemophilia B	Orphanet_98879	Exact	D67
Congenital malformations of cardiac chambers and connections	congenital heart malformation	EFO_0005269	Broad	Q20
Acute nephritic syndrome	nephritis	EFO_1002050	Broad	N00
Keratitis	keratitis	EFO_0009449	Exact	H16
Conjunctivitis	conjunctivitis	EFO_0009450	Exact	H10
Hypoparathyroidism	hypoparathyroidism	EFO_0009451	Exact	E20
Hyperaldosteronism	hyperaldosteonism	EFO_0009452	Exact	E26
Hemiplegia	hemiplagia	EFO_0009453	Exact	G81
Gastric ulcer	gastric ulcer	EFO_0009454	Exact	K25
Disorders of lacrimal system	lacrimal apparatus disease	EFO_0009455	Exact	H04
Exfoliative dermatitis	exfoliative dermatitis	EFO_0009456	Exact	L26
Apocrine sweat disorders	apocrine sweat gland disease	EFO_1002046	Exact	L75
Spotted fever	spotted fever	EFO_1002047	Exact	A77
Unspecified nephritic syndrome	nephritis	EFO_1002050	Exact	N05
Facial nerve disorders	facial nerve disease	EFO_1002051	Exact	G51
Essential primary hypertension	primary hypertension	EFO_1002032	Exact	I10
Congenital malformations of uterus and cervix	Abnormality of female internal genitalia	HP_0000008	Broad	Q51
